Df,SumOfSqs,R2,F,Pr(>F),var,taxa,Compartment
1,2.87731892539938,0.0308822640773582,11.0576302936413,9.99900009999e-05,Radiation,Bacteria,Epi
1,2.2984736990755,0.0246695182529546,8.77684333052087,9.99900009999e-05,Precipitation,Bacteria,Epi
1,1.90827413359076,0.0204815063096844,7.25569015311258,9.99900009999e-05,Vapor_Pressure,Bacteria,Epi
1,1.76042243246857,0.0188946139989169,6.6826980578995,9.99900009999e-05,Runoff,Bacteria,Epi
1,1.45344021931608,0.015599773899705,5.49890318965258,9.99900009999e-05,Vapor_Pressure_Deficit,Bacteria,Epi
1,1.44839214809899,0.0155455929512424,5.47950287535658,9.99900009999e-05,Potential_Evapotranspiration,Bacteria,Epi
1,1.42794627422947,0.0153261473866381,5.40094888175287,9.99900009999e-05,Climate_Water_Deficit,Bacteria,Epi
1,1.42432723729508,0.0152873042631571,5.38704802150043,9.99900009999e-05,Actual_Evapotranspiration,Bacteria,Epi
1,1.35932838595469,0.0145896715905677,5.13757152322386,9.99900009999e-05,Wind_Speed,Bacteria,Epi
1,1.34964404933158,0.01448572960542,5.10043164678701,9.99900009999e-05,Min_Temperature,Bacteria,Epi
1,1.30254204423021,0.0139801837838313,4.91990494836661,9.99900009999e-05,Drought,Bacteria,Epi
1,1.1262938251132,0.0120885116449216,4.24604186734603,9.99900009999e-05,Snow_Water_Equivalent,Bacteria,Epi
1,0.886261217450803,0.00951224166262267,3.33244689714355,9.99900009999e-05,Soil_Moisture,Bacteria,Epi
1,0.529865854449265,0.00568705022520433,1.98469347964629,0.0017998200179982,Max_Temperature,Bacteria,Epi
1,4.02957046810412,0.0346092869554872,12.3682606827527,9.99900009999e-05,Radiation,Bacteria,Endo
1,2.8316817939505,0.0243208273807831,8.59984068722643,9.99900009999e-05,Actual_Evapotranspiration,Bacteria,Endo
1,2.72772717094662,0.023427979022287,8.27655573686919,9.99900009999e-05,Potential_Evapotranspiration,Bacteria,Endo
1,2.56787854739243,0.0220550667166662,7.78059966188847,9.99900009999e-05,Soil_Moisture,Bacteria,Endo
1,2.46610090960427,0.0211809161093635,7.46554309983893,9.99900009999e-05,Vapor_Pressure,Bacteria,Endo
1,2.44668922541472,0.0210141924960843,7.40551737888202,9.99900009999e-05,Runoff,Bacteria,Endo
1,1.92268778290284,0.0165136343267876,5.79286509868584,9.99900009999e-05,Drought,Bacteria,Endo
1,1.834869232044,0.0157593759137021,5.52404011496126,9.99900009999e-05,Vapor_Pressure_Deficit,Bacteria,Endo
1,1.69773823466942,0.0145815813879094,5.1050858029568,9.99900009999e-05,Precipitation,Bacteria,Endo
1,1.66673096935269,0.0143152653248088,5.01049307483338,9.99900009999e-05,Wind_Speed,Bacteria,Endo
1,1.22273648812386,0.0105018731706989,3.66159990166021,9.99900009999e-05,Min_Temperature,Bacteria,Endo
1,0.816640753876653,0.007013986829162,2.43691796658225,0.0010998900109989,Climate_Water_Deficit,Bacteria,Endo
1,0.772809815618894,0.00663753044709884,2.30524916577508,0.000999900009999,Snow_Water_Equivalent,Bacteria,Endo
1,0.602998593327647,0.00517905109624513,1.7960745902803,0.0148985101489851,Max_Temperature,Bacteria,Endo
